Description,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12
 4 PURPLE FLOCK DINNER CANDLES,35.699999999999996,5.1,2.55,0.0,17.849999999999998,7.6499999999999995,5.1,7.6499999999999995,2.55,22.95,7.6499999999999995,112.19999999999999,38.71
 50'S CHRISTMAS GIFT BAG LARGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,256.25,741.25,506.25,67.5
 DOLLY GIRL BEAKER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.75,371.25,268.75,186.25,182.5,90.0
 I LOVE LONDON MINI BACKPACK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,398.40000000000003,207.50000000000003,215.8,87.15
 I LOVE LONDON MINI RUCKSACK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.15,0.0,0.0
 OVAL WALL MIRROR DIAMANTE ,0.0,0.0,0.0,0.0,0.0,94.80000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 RED SPOT GIFT BAG LARGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,402.5,430.0,431.25,98.75
 SET 2 TEA TOWELS I LOVE LONDON ,746.35,342.20000000000005,348.1,547.5500000000001,716.45,633.05,58.5,0.0,0.0,0.0,0.0,0.0,0.0
 TRELLIS COAT RACK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.50000000000006,292.65000000000003,148.5,29.700000000000003
10 COLOUR SPACEBOY PEN,301.75,234.6,142.79999999999998,285.59999999999997,183.6,275.4,153.0,191.25,276.25,282.90999999999997,463.46999999999997,514.89,45.69
12 COLOURED PARTY BALLOONS,31.2,52.0,51.35,104.0,98.8,77.35,139.75,92.3,98.8,111.1,61.1,161.75,27.95
12 DAISY PEGS IN WOOD BOX,16.5,113.84999999999998,11.549999999999999,113.84999999999998,148.49999999999997,44.55,11.549999999999999,29.7,23.099999999999998,9.899999999999999,8.25,0.0,0.0
12 HANGING EGGS HAND PAINTED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.48,18.72
12 IVORY ROSE PEG PLACE SETTINGS,26.25,67.5,107.5,201.25,43.75,143.75,132.5,47.5,102.5,18.75,0.0,0.0,0.0
12 MESSAGE CARDS WITH ENVELOPES,54.449999999999996,127.04999999999998,97.35,97.35,138.59999999999997,252.44999999999996,146.85,130.35,199.64999999999998,70.94999999999999,217.79999999999998,174.89999999999998,125.39999999999999
12 PENCIL SMALL TUBE WOODLAND,139.75,105.30000000000001,41.6,98.80000000000001,133.9,63.7,49.400000000000006,3.25,0.0,66.30000000000001,275.8,575.9000000000001,177.4
12 PENCILS SMALL TUBE RED RETROSPOT,262.6,148.85000000000002,116.35000000000001,213.85000000000002,213.85000000000002,261.3,0.0,0.0,0.0,66.95,417.95000000000005,488.15000000000003,117.00000000000001
12 PENCILS SMALL TUBE SKULL,177.45000000000002,105.30000000000001,109.20000000000002,184.60000000000002,183.3,167.70000000000002,163.8,147.55,52.0,132.60000000000002,361.1,84.5,7.800000000000001
12 PENCILS TALL TUBE POSY,14.45,10.2,1.7,33.15,10.2,25.5,131.6,145.86999999999998,133.10999999999999,108.45999999999998,56.25999999999999,0.0,0.0
12 PENCILS TALL TUBE RED RETROSPOT,124.1,54.39999999999999,48.449999999999996,156.39999999999998,120.69999999999999,132.6,96.89999999999999,55.25,155.54999999999998,226.95,192.95,348.5,44.199999999999996
12 PENCILS TALL TUBE SKULLS,120.69999999999999,33.15,34.849999999999994,96.89999999999999,117.29999999999998,68.85,32.3,71.39999999999999,68.0,187.85,156.39999999999998,419.9,79.89999999999999
12 PENCILS TALL TUBE WOODLAND,85.85,37.4,34.849999999999994,75.64999999999999,122.39999999999999,174.25,25.5,141.95,129.2,235.45,111.35,283.05,43.349999999999994
12 PINK HEN+CHICKS IN BASKET,0.0,2.55,2.55,45.9,53.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12 PINK ROSE PEG PLACE SETTINGS,20.0,72.5,25.0,27.5,1.25,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0
12 RED ROSE PEG PLACE SETTINGS,11.25,58.75,60.0,20.0,60.0,18.75,43.75,12.5,6.25,31.25,16.25,61.25,15.0
15 PINK FLUFFY CHICKS IN BOX,0.0,5.9,2.95,17.700000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.95,0.0
15CM CHRISTMAS GLASS BALL 20 LIGHTS,83.4,0.0,0.0,0.0,0.0,0.0,0.0,83.4,0.0,1167.6000000000001,500.40000000000003,1765.3000000000002,0.0
18PC WOODEN CUTLERY SET DISPOSABLE,0.0,0.0,0.0,0.0,0.0,0.0,115.0,112.5,40.0,20.0,1.25,0.0,0.0
2 DAISIES HAIR COMB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.700000000000003,0.0,0.0,0.0
2 PICTURE BOOK EGGS EASTER BUNNY,0.0,38.75,35.0,90.0,18.75,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0
2 PICTURE BOOK EGGS EASTER CHICKS,0.0,17.5,72.5,92.5,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
2 PICTURE BOOK EGGS EASTER DUCKS,0.0,12.5,53.75,41.25,21.25,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0
20 DOLLY PEGS RETROSPOT,227.5,106.25,228.75,221.25,87.5,0.0,8.7,105.85,217.5,168.2,159.5,166.75,47.849999999999994
200 BENDY SKULL STRAWS,50.0,17.5,2.5,18.75,2.5,32.5,21.25,5.0,6.25,2.5,0.0,33.75,3.75
200 RED + WHITE BENDY STRAWS,90.0,88.75,55.0,36.25,17.5,42.5,32.5,31.25,25.0,33.75,36.25,52.5,2.5
3 BIRDS CANVAS SCREEN,0.0,0.0,0.0,0.0,1.65,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0
3 BLACK CATS W HEARTS BLANK CARD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1400000000000001,0.0,0.0,3.4200000000000004,0.0
