Country,OrderValue
United Kingdom,3680358.413
Germany,137946.33
France,121967.99
EIRE,105899.62
Spain,29826.96
Switzerland,29788.46
Belgium,27839.11
Portugal,20405.27
Norway,18112.760000000002
Netherlands,15578.9
Australia,12712.24
Italy,11952.87
Channel Islands,10986.73
Finland,10105.460000000001
Denmark,7638.78
Cyprus,7372.360000000001
Austria,6682.09
Sweden,5582.59
Poland,4887.38
Singapore,4774.93
Israel,3647.08
Iceland,3314.73
Greece,3278.23
USA,2800.35
Japan,2658.59
Unspecified,2159.5
Canada,1982.04
Malta,1481.27
United Arab Emirates,1281.34
Lithuania,1266.86
European Community,983.5500000000001
Lebanon,952.88
Brazil,869.4
RSA,734.36
Czech Republic,594.54
Bahrain,248.3
Saudi Arabia,145.92
