StockCode,Description,TotalQty,TotalRevenue,LastSold,FirstSold,NumOrders,DaysSinceLastSale
10002,INFLATABLE POLITICAL GLOBE ,377,320.45,2011-04-18 12:56:00,2010-12-01 09:45:00,43,234
10080,GROOVY CACTUS INFLATABLE,243,95.69,2011-11-21 17:04:00,2011-02-27 13:47:00,20,17
10120,DOGGY RUBBER,132,27.72,2011-12-04 13:15:00,2010-12-03 11:19:00,27,4
10123C,HEARTS WRAPPING TAPE ,5,3.25,2011-03-31 13:14:00,2010-12-03 11:19:00,3,252
10124A,SPOTS ON RED BOOKCOVER TAPE,16,6.72,2011-11-06 13:00:00,2010-12-06 13:13:00,5,32
10124G,ARMY CAMO BOOKCOVER TAPE,17,7.14,2011-11-06 13:00:00,2010-12-02 13:14:00,4,32
10125,MINI FUNKY DESIGN TAPES,635,470.95,2011-12-09 10:13:00,2010-12-01 12:23:00,53,0
10133,COLOURING PENCILS BROWN TUBE,1394,697.71,2011-09-07 10:07:00,2010-12-01 12:15:00,106,93
10135,COLOURING PENCILS BROWN TUBE,952,1028.99,2011-12-07 13:35:00,2010-12-02 10:35:00,103,1
11001,ASSTD DESIGN RACING CAR PEN,628,1093.32,2011-12-05 17:17:00,2010-12-05 11:10:00,55,3
15030,FAN BLACK FRAME ,83,24.07,2011-12-06 12:21:00,2011-03-24 13:37:00,11,3
15034,PAPER POCKET TRAVELING FAN ,1187,166.18,2011-11-28 13:56:00,2010-12-05 13:55:00,68,10
15036,ASSORTED COLOURS SILK FAN,3688,2999.6,2011-12-02 17:06:00,2010-12-02 15:03:00,236,6
15039,SANDALWOOD FAN,432,367.2,2011-12-08 13:50:00,2010-12-05 12:43:00,59,0
15044A,PINK PAPER PARASOL ,372,1103.0800000000002,2011-12-05 17:17:00,2010-12-21 14:26:00,77,3
15044B,BLUE PAPER PARASOL ,207,610.6500000000001,2011-09-28 15:50:00,2010-12-01 12:54:00,46,71
15044C,PURPLE PAPER PARASOL,221,651.95,2011-12-06 14:23:00,2010-12-06 14:51:00,59,2
15044D,RED PAPER PARASOL,315,932.0900000000001,2011-12-05 16:03:00,2011-01-17 16:06:00,68,3
15056BL,EDWARDIAN PARASOL BLACK,1308,7641.200000000001,2011-12-08 10:26:00,2010-12-01 09:41:00,265,1
15056N,EDWARDIAN PARASOL NATURAL,1633,9467.050000000001,2011-12-08 10:26:00,2010-12-01 09:41:00,341,1
15056P,EDWARDIAN PARASOL PINK,442,2594.8,2011-12-08 13:50:00,2010-12-03 13:59:00,128,0
15058A,BLUE POLKADOT GARDEN PARASOL,60,405.0,2011-08-05 15:07:00,2011-05-12 12:30:00,6,125
15058B,PINK POLKADOT GARDEN PARASOL,40,270.0,2011-08-05 15:07:00,2011-06-08 10:10:00,3,125
15058C,ICE CREAM DESIGN GARDEN PARASOL,130,513.5,2011-07-07 13:33:00,2011-03-03 13:45:00,11,154
15060B,FAIRY CAKE DESIGN UMBRELLA,348,1281.0,2011-11-18 14:14:00,2010-12-02 14:30:00,92,20
16008,SMALL FOLDING SCISSOR(POINTED EDGE),912,123.35,2011-12-06 11:07:00,2010-12-09 14:10:00,54,3
16010,FOLDING CAMPING SCISSOR W/KNIF & S,30,3.5999999999999996,2011-03-28 14:27:00,2010-12-05 16:41:00,3,255
16011,ANIMAL STICKERS,609,127.89,2011-12-07 12:41:00,2010-12-05 12:53:00,31,2
16012,FOOD/DRINK SPONGE STICKERS,605,127.05,2011-12-05 14:49:00,2010-12-02 13:32:00,27,3
16014,SMALL CHINESE STYLE SCISSOR,438,181.96,2011-12-01 13:32:00,2010-12-01 12:15:00,40,7
16015,MEDIUM CHINESE STYLE SCISSOR,199,96.7,2011-11-17 17:34:00,2010-12-09 14:10:00,20,21
16016,LARGE CHINESE STYLE SCISSOR,563,475.95,2011-12-09 12:31:00,2010-12-01 12:15:00,55,0
16020C,CLEAR STATIONERY BOX SET ,6,5.1,2011-04-07 19:27:00,2011-03-02 17:33:00,2,245
16043,POP ART PUSH DOWN RUBBER ,24,2.88,2011-06-07 10:44:00,2011-06-07 10:44:00,1,185
16046,TEATIME PEN CASE & PENS,64,54.4,2011-11-28 11:26:00,2010-12-02 11:35:00,13,11
16048,TEATIME ROUND PENCIL SHARPENER ,812,111.84,2011-11-25 11:02:00,2010-12-16 14:34:00,40,14
16052,TEATIME PUSH DOWN RUBBER,96,34.8,2011-06-05 14:06:00,2011-01-26 12:29:00,4,186
16054,POPART RECT PENCIL SHARPENER ASST,14,2.28,2011-11-08 14:22:00,2010-12-10 11:33:00,6,30
