ProductA,ProductB,Frequency,ProductA_desc,ProductB_desc
22697,22699,517,GREEN REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER 
22726,22727,515,ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE RED 
20725,22384,482,LUNCH BAG RED RETROSPOT,LUNCH BAG PINK POLKADOT
20725,20727,476,LUNCH BAG RED RETROSPOT,LUNCH BAG  BLACK SKULL.
20725,22383,475,LUNCH BAG RED RETROSPOT,LUNCH BAG SUKI  DESIGN 
22386,85099B,452,JUMBO BAG PINK POLKADOT,JUMBO BAG RED RETROSPOT
22697,22698,442,GREEN REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER
20727,22384,439,LUNCH BAG  BLACK SKULL.,LUNCH BAG PINK POLKADOT
82482,82494L,437,WOODEN PICTURE FRAME WHITE FINISH,WOODEN FRAME ANTIQUE WHITE 
20727,22383,436,LUNCH BAG  BLACK SKULL.,LUNCH BAG SUKI  DESIGN 
