StockCode,Description,TotalRevenue
47566,PARTY BUNTING,34952.85
85123A,WHITE HANGING HEART T-LIGHT HOLDER,31763.760000000002
85099B,JUMBO BAG RED RETROSPOT,24923.5
23298,SPOTTY BUNTING,23513.050000000003
84879,ASSORTED COLOUR BIRD ORNAMENT,22940.06
22960,JAM MAKING SET WITH JARS,21137.25
23355,HOT WATER BOTTLE KEEP CALM,20617.350000000002
22720,SET OF 3 CAKE TINS PANTRY DESIGN ,20583.97
22112,CHOCOLATE HOT WATER BOTTLE,18422.850000000002
79321,CHILLI LIGHTS,18379.8
22139,RETROSPOT TEA SET CERAMIC 11 PC ,17941.600000000002
22457,NATURAL SLATE HEART CHALKBOARD ,17750.770000000004
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,17455.710000000003
22699,ROSES REGENCY TEACUP AND SAUCER ,16284.750000000002
22138,BAKING SET 9 PIECE RETROSPOT ,16263.000000000002
20725,LUNCH BAG RED RETROSPOT,16194.8
22727,ALARM CLOCK BAKELIKE RED ,15785.61
23245,SET OF 3 REGENCY CAKE TINS,15584.050000000001
22726,ALARM CLOCK BAKELIKE GREEN,15291.25
21754,HOME BUILDING BLOCK WORD,15285.050000000001
