Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday
20,0.0,0.0,0.0,154.8,4286.15,19.19
19,0.0,0.0,0.0,0.0,24739.46,187.74
18,0.0,0.0,233.68,0.0,31636.51,33.0
17,0.0,24106.420000000002,14476.95,17155.86,52863.36,15003.82
16,27006.31,34380.51,31027.62,44513.24,69177.22,19606.95
15,82449.02,81312.93000000001,78724.9,87186.1,87701.38,56719.69
14,76827.541,95994.76,97023.27,94652.77,107323.57,87008.32
13,92224.02,105927.0,108555.73,118880.94,123949.41,92037.37
12,103254.42,111160.25,125966.75,133395.4,138737.23,104519.35
11,84703.83,76846.62,96370.42,89038.19,80512.7,73581.95
10,39359.81,83141.24,91134.291,94930.6,107291.37,96341.52
9,379.2,63841.15,72859.18000000001,61540.14,69755.14,70878.141
8,0.0,24799.33,26864.61,29390.69,28168.79,30413.8
7,0.0,572.42,934.41,921.08,1053.5,1048.9
6,0.0,0.0,0.0,0.0,4.25,0.0
